"theta","flux"
0.0,-1.7143656052452753e-07
0.9,-1.7885634147889593e-07
1.8,-1.8475956852710248e-07
2.7,-1.8895862472358425e-07
3.6,-1.9158597669496456e-07
4.5,-1.9307418011121655e-07
5.4,-1.9389664021313424e-07
6.3,-1.9433088142815929e-07
7.2,-1.9450713095906775e-07
8.1,-1.9447424601688152e-07
9.0,-1.9422379096183152e-07
9.9,-1.93685175820256e-07
10.8,-1.9268943877141192e-07
11.700000000000001,-1.9089405217893e-07
12.6,-1.8780192156389303e-07
13.5,-1.8306109772319984e-07
14.4,-1.7664289585349887e-07
15.3,-1.6883621502943535e-07
16.2,-1.6007781057850136e-07
17.1,-1.5075640045780143e-07
18.0,-1.4103032833936728e-07
18.900000000000002,-1.3096561605192145e-07
19.8,-1.206456555113364e-07
20.7,-1.1015473667477512e-07
21.6,-9.954510549189073e-08
22.5,-8.884922917805928e-08
23.400000000000002,-7.809567975640917e-08
24.3,-6.730518528382366e-08
25.2,-5.650282139669312e-08
26.1,-4.573119169459882e-08
27.0,-3.504874413397212e-08
27.900000000000002,-2.449311888394016e-08
28.8,-1.403323109772944e-08
29.7,-3.5989524623845066e-09
30.6,6.8342568952661076e-09
31.5,1.7275221416803183e-08
32.4,2.7761646201255495e-08
33.300000000000004,3.836059205863613e-08
34.2,4.9078799440192995e-08
35.1,5.986598584002753e-08
36.0,7.066920669915909e-08
36.9,8.145106974006192e-08
37.800000000000004,9.21917009567052e-08
38.7,1.0286769814593183e-07
39.6,1.1344728060399832e-07
40.5,1.238957562514572e-07
41.4,1.341535143453061e-07
42.300000000000004,1.4412842719012183e-07
43.2,1.537452310768696e-07
44.1,1.6292432841136553e-07
45.0,1.7143655622960184e-07
45.9,1.7885630967172665e-07
46.800000000000004,1.8475960053939648e-07
47.7,1.8895860141079872e-07
48.6,1.9158597669496456e-07
49.5,1.930742697314055e-07
50.4,1.9389664021313424e-07
51.300000000000004,1.943309120595239e-07
52.2,1.9450718798800416e-07
53.1,1.944743018107312e-07
54.0,1.9422376667145983e-07
54.9,1.9368520598953968e-07
55.800000000000004,1.9268946894397033e-07
56.7,1.9089405217893e-07
57.6,1.878019375337176e-07
58.5,1.8306106849272289e-07
59.4,1.766429357950472e-07
60.300000000000004,1.6883618747090313e-07
61.2,1.6007777420264407e-07
62.1,1.5075637512410265e-07
63.0,1.4103032833936728e-07
63.9,1.3096561605192145e-07
64.8,1.2064567612222807e-07
65.7,1.1015475541643135e-07
66.60000000000001,9.954512794130952e-08
67.5,8.884922917805928e-08
68.4,7.809564315247578e-08
69.3,6.730519630334008e-08
70.2,5.650279340023024e-08
71.10000000000001,4.573118416886416e-08
72.0,3.504874413397212e-08
72.9,2.449312349836063e-08
73.8,1.403323447370632e-08
74.7,3.5989354806637274e-09
75.60000000000001,-6.834258099291286e-09
76.5,-1.727518816802288e-08
77.4,-2.7761648149956136e-08
78.3,-3.836059205863613e-08
79.2,-4.907882064823196e-08
80.10000000000001,-5.986597653011088e-08
81.0,-7.066921205277535e-08
81.9,-8.14510743833908e-08
82.8,-9.21916976005108e-08
83.7,-1.0286767537678353e-07
84.60000000000001,-1.1344728000097024e-07
85.5,-1.2389576062600056e-07
86.4,-1.341535143453061e-07
87.3,-1.4412839810161904e-07
88.2,-1.537452408399316e-07
89.10000000000001,-1.6292438641138543e-07
90.0,-1.7143656052452753e-07
