"theta","flux"
0.0,1.0033544386975695e-10
0.9,-1.0341906590395033e-08
1.8,-2.0790731481809487e-08
2.7,-3.1305165588180616e-08
3.6,-4.194160738636856e-08
4.5,-5.2686012821050354e-08
5.4,-6.348178190531478e-08
6.3,-7.42797912268993e-08
7.2,-8.504875069673688e-08
8.1,-9.577030588157063e-08
9.0,-1.0641685259019656e-07
9.9,-1.1695618132913865e-07
10.8,-1.2734833252038207e-07
11.700000000000001,-1.3751980080424753e-07
12.6,-1.4737788376354648e-07
13.5,-1.5685459840349217e-07
14.4,-1.6584263695993983e-07
15.3,-1.740339579578224e-07
16.2,-1.8099050290750464e-07
17.1,-1.8633368253421385e-07
18.0,-1.8998420907275087e-07
18.900000000000002,-1.9217772394972224e-07
19.8,-1.9340155215343471e-07
20.7,-1.940740462748744e-07
21.6,-1.944140585344705e-07
22.5,-1.9451960865961969e-07
23.400000000000002,-1.9441904778838248e-07
24.3,-1.9408531506234312e-07
25.2,-1.9342178737609985e-07
26.1,-1.922123542411684e-07
27.0,-1.9004706489430207e-07
27.900000000000002,-1.8643607163625447e-07
28.8,-1.8113409983422552e-07
29.7,-1.7421415751311783e-07
30.6,-1.66044615629332e-07
31.5,-1.570661580113775e-07
32.4,-1.4759501697386888e-07
33.300000000000004,-1.3774225640671551e-07
34.2,-1.275767629543368e-07
35.1,-1.1718923577477735e-07
36.0,-1.066526064444764e-07
36.9,-9.60095970180688e-08
37.800000000000004,-8.529060844673224e-08
38.7,-7.452161619593832e-08
39.6,-6.372249484980767e-08
40.5,-5.292281321400186e-08
41.4,-4.21711175677361e-08
42.300000000000004,-3.1524583292948153e-08
43.2,-2.0999652192050673e-08
44.1,-1.0544286089286064e-08
45.0,-1.0033350470042064e-10
45.9,1.0341905900658953e-08
46.800000000000004,2.0790732265281472e-08
47.7,3.130515842283925e-08
48.6,4.1941616907742395e-08
49.5,5.2686012821050354e-08
50.4,6.348178344748718e-08
51.300000000000004,7.42797778199526e-08
52.2,8.504876694370535e-08
53.1,9.577031344608145e-08
54.0,1.064168744467476e-07
54.9,1.1695617455682863e-07
55.800000000000004,1.2734833252038207e-07
56.7,1.3751979499287055e-07
57.6,1.473778593990347e-07
58.5,1.56854567895894e-07
59.4,1.6584266438483953e-07
60.300000000000004,1.7403392663614457e-07
61.2,1.8099050290750464e-07
62.1,1.8633371459792376e-07
63.0,1.8998424097633392e-07
63.9,1.9217772394972224e-07
64.8,1.934015821415367e-07
65.7,1.940740462748744e-07
66.60000000000001,1.944140585344705e-07
67.5,1.945195783704032e-07
68.4,1.9441901817418513e-07
69.3,1.9408528431437816e-07
70.2,1.93421757213092e-07
71.10000000000001,1.9221238422970416e-07
72.0,1.9004709489214127e-07
72.9,1.8643604120101024e-07
73.8,1.8113409983422552e-07
74.7,1.7421415751311783e-07
75.60000000000001,1.6604461562933487e-07
76.5,1.570661670657931e-07
77.4,1.4759500256517577e-07
78.3,1.3774224212989191e-07
79.2,1.275767629543368e-07
80.10000000000001,1.1718921916398472e-07
81.0,1.066526064444764e-07
81.9,9.600958086822408e-08
82.8,8.529060844673224e-08
83.7,7.452161686161542e-08
84.60000000000001,6.372249485020867e-08
85.5,5.292281429064882e-08
86.4,4.21711175677361e-08
87.3,3.1524583292948153e-08
88.2,2.0999652192050673e-08
89.10000000000001,1.0544292528635863e-08
90.0,1.0033350470042064e-10
