"theta","flux"
0.0,1.7147206520004032e-07
0.9,1.6296877230153343e-07
1.8,1.5380037430313175e-07
2.7,1.4419606277268936e-07
3.6,1.3423395562930777e-07
4.5,1.2398673168858873e-07
5.4,1.1354436670874592e-07
6.3,1.0296929395560425e-07
7.2,9.22978172244544e-08
8.1,8.155988521663016e-08
9.0,7.077857563672246e-08
9.9,5.997534366014665e-08
10.8,4.918636486591997e-08
11.700000000000001,3.8465970884549657e-08
12.6,2.786565597822299e-08
13.5,1.7379098310364672e-08
14.4,6.940412374224867e-09
15.3,-3.4930416354102465e-09
16.2,-1.3930508735117033e-08
17.1,-2.4389108848433456e-08
18.0,-3.493829323968146e-08
18.900000000000002,-4.561346093281957e-08
19.8,-5.637980634019288e-08
20.7,-6.717984931506668e-08
21.6,-7.796955273630862e-08
22.5,-8.872417843411768e-08
23.400000000000002,-9.942352122172688e-08
24.3,-1.1003712372266432e-07
25.2,-1.2053217597181383e-07
26.1,-1.3086001817008777e-07
27.0,-1.409347825430931e-07
27.900000000000002,-1.506702066521936e-07
28.8,-1.5999798021255144e-07
29.7,-1.687627476205384e-07
30.6,-1.765826787536592e-07
31.5,-1.8301616621854384e-07
32.4,-1.877653837089497e-07
33.300000000000004,-1.90860389775994e-07
34.2,-1.92654645024518e-07
35.1,-1.9364880632208457e-07
36.0,-1.9418733241439192e-07
36.9,-1.9443824086219784e-07
37.800000000000004,-1.9447178301788553e-07
38.7,-1.94296851436324e-07
39.6,-1.9386511102664816e-07
40.5,-1.9304659978363528e-07
41.4,-1.9156627291639088e-07
42.300000000000004,-1.889552299356311e-07
43.2,-1.847724243314212e-07
44.1,-1.788814977138036e-07
45.0,-1.714720373548401e-07
45.9,-1.629687604466612e-07
46.800000000000004,-1.5380040005757432e-07
47.7,-1.4419606277268936e-07
48.6,-1.3423397856974055e-07
49.5,-1.2398673168858873e-07
50.4,-1.135443860724696e-07
51.300000000000004,-1.0296927646632616e-07
52.2,-9.229782529442336e-08
53.1,-8.1559879119768e-08
54.0,-7.077856397295898e-08
54.9,-5.997533383227611e-08
55.800000000000004,-4.918635810469035e-08
56.7,-3.8465965054146734e-08
57.6,-2.7865645590426383e-08
58.5,-1.737910310006984e-08
59.4,-6.9404084474692715e-09
60.300000000000004,3.4930459474532226e-09
61.2,1.3930510765820608e-08
62.1,2.4389108848433456e-08
63.0,3.4938289921890835e-08
63.9,4.561346093281957e-08
64.8,5.637980645696659e-08
65.7,6.71798369143516e-08
66.60000000000001,7.796953851531042e-08
67.5,8.872416460275952e-08
68.4,9.94235251129004e-08
69.3,1.1003710100632288e-07
70.2,1.2053215096377672e-07
71.10000000000001,1.3085999857292744e-07
72.0,1.4093473515665287e-07
72.9,1.506702066521936e-07
73.8,1.5999801084899368e-07
74.7,1.687627476205384e-07
75.60000000000001,1.7658268549953385e-07
76.5,1.8301613839310783e-07
77.4,1.877653573693356e-07
78.3,1.908603672191573e-07
79.2,1.9265462924532793e-07
80.10000000000001,1.936487968077344e-07
81.0,1.9418730832334328e-07
81.9,1.9443824558141376e-07
82.8,1.944717796004324e-07
83.7,1.9429687934448657e-07
84.60000000000001,1.938650802039369e-07
85.5,1.930465986704196e-07
86.4,1.9156630596348505e-07
87.3,1.8895522514482785e-07
88.2,1.8477243062031543e-07
89.10000000000001,1.7888146144682664e-07
90.0,1.714720373548401e-07
