"rotorangle","Torque"
0.0,-0.013153255012418392
0.125,0.029931239252427536
0.25,0.07395001409404149
0.375,0.11559470618008576
0.5,0.15348252747165791
0.625,0.1895820608764064
0.75,0.2205618878916868
0.875,0.2462180188709084
1.0,0.26877373450278824
1.125,0.28496994478311166
1.25,0.2958659684804587
1.375,0.3034421144211153
1.5,0.3047714370103394
1.625,0.30211879708260225
1.75,0.29664631776148054
1.875,0.2858116610081242
2.0,0.27315608774391315
2.125,0.25803201426431827
2.25,0.2388801039197072
2.375,0.21988395724800816
2.5,0.19907615262220793
2.625,0.17615387552883913
2.75,0.1550695985892068
2.875,0.13314216802281456
3.0,0.1113571270080724
3.125,0.09258605733874369
3.25,0.07379849002410954
3.375,0.057213966830724966
3.5,0.043390141869669094
3.625,0.0297877058043476
3.75,0.019355806125427935
3.875,0.010616355552340688
4.0,0.0021450121312268262
4.125,-0.0030943421594577664
4.25,-0.008049547943871024
4.375,-0.012791334256063625
4.5,-0.01485431756160788
4.625,-0.017454386770460215
4.75,-0.019413725562254142
4.875,-0.019371842421015553
5.0,-0.020440436764837488
5.125,-0.020297462958038064
5.25,-0.01932179727596208
5.375,-0.019769867632059648
5.5,-0.018584558028740927
5.625,-0.017618487960702214
5.75,-0.01788982688541748
5.875,-0.016097566287299376
6.0,-0.015188678278418256
6.125,-0.014847805156899103
6.25,-0.01268154866967812
6.375,-0.011957550161819095
6.5,-0.011048604752127872
6.625,-0.00897612398276752
6.75,-0.008455745801479031
6.875,-0.006971405577027197
7.0,-0.005072614685218083
7.125,-0.004566918265568806
7.25,-0.002418432897347445
7.375,-0.0007429081334989276
7.5,-0.00021039017552352063
