"rotorangle","Torque"
0.0,0.002508050895230623
0.125,0.0475848460511219
0.25,0.09395105406629496
0.375,0.13705702651492704
0.5,0.17539880109990424
0.625,0.20968844833215777
0.75,0.2409625544400464
0.875,0.26667980230178057
1.0,0.28656889351442905
1.125,0.3017920181235241
1.25,0.3129610773590551
1.375,0.3195576082313096
1.5,0.3205005768721623
1.625,0.31699905119494864
1.75,0.31019777042966273
1.875,0.2999062963051723
2.0,0.2853094803565005
2.125,0.26755098746172934
2.25,0.24852047254320703
2.375,0.22788097857193448
2.5,0.20531370667335128
2.625,0.18113733253147207
2.75,0.15785241043028073
2.875,0.13546347092763825
3.0,0.11310645826160096
3.125,0.0908453893890856
3.25,0.07070396590846503
3.375,0.05338304691759782
3.5,0.0376585306072056
3.625,0.023268223938756567
3.75,0.01060071287539316
3.875,0.0004930469830482509
4.0,-0.007460671700817531
4.125,-0.013881777316564392
4.25,-0.019626765277491336
4.375,-0.023964480048619057
4.5,-0.026584139210808985
4.625,-0.027747829998844776
4.75,-0.02878526671658429
4.875,-0.029605618110896823
5.0,-0.029389918291557553
5.125,-0.02804234180410903
5.25,-0.026686096493901905
5.375,-0.02594041043685728
5.5,-0.024723818547631327
5.625,-0.022771662775120296
5.75,-0.02066852053631751
5.875,-0.01943424136437312
6.0,-0.018228664859444823
6.125,-0.01648546933380859
6.25,-0.014349449267406392
6.375,-0.012744573927981735
6.5,-0.011630127821309056
6.625,-0.010199849437471752
6.75,-0.008227574419399529
6.875,-0.0062378519865505105
7.0,-0.005198082182035907
7.125,-0.0042636287178168045
7.25,-0.0028567525064013
7.375,-0.0013333375167027743
7.5,-0.0007684621690249444
