"rotorangle","Torque"
0.0,-0.01154312315350028
0.125,0.029515479005896215
0.25,0.06969504901481545
0.375,0.10791393897862352
0.5,0.14371505924359
0.625,0.1757751221466637
0.75,0.2040425763757933
0.875,0.22760084925164073
1.0,0.2466717434138739
1.125,0.26078941748634343
1.25,0.2702930359617004
1.375,0.2750663795927966
1.5,0.2755718703657444
1.625,0.2718865245242379
1.75,0.26458695349403966
1.875,0.25389232401853007
2.0,0.24039783762364136
2.125,0.22449227112864392
2.25,0.20663660128023903
2.375,0.18745923733255368
2.5,0.16719575365737
2.625,0.14675972455535297
2.75,0.12611569029326433
2.875,0.10626388291450288
3.0,0.08706200821654392
3.125,0.06930966289815083
3.25,0.052967170188124454
3.375,0.03832669176102302
3.5,0.025531337455474385
3.625,0.01437946891173728
3.75,0.005105283049523993
3.875,-0.0027167925620466705
4.0,-0.008984748179888008
4.125,-0.014039349946468728
4.25,-0.01802360409013479
4.375,-0.02104955468659069
4.5,-0.023413006037283746
4.625,-0.024980837515668472
4.75,-0.02620061909171341
4.875,-0.02678975147829959
5.0,-0.027190059386360783
5.125,-0.027147536806770487
5.25,-0.026938450742136775
5.375,-0.02648420095117767
5.5,-0.025824838629105167
5.625,-0.02509838163560672
5.75,-0.02413912867205561
5.875,-0.023230860210815735
6.0,-0.022089261236169288
6.125,-0.02103929642768391
6.25,-0.019828771497287664
6.375,-0.01870560063583024
6.5,-0.017519013432734633
6.625,-0.016341684595214193
6.75,-0.015214404115329776
6.875,-0.014004816948528176
7.0,-0.012915481036026896
7.125,-0.011648974128471256
7.25,-0.010509607109743977
7.375,-0.009191365483404063
7.5,-0.0079544061256075
