"rotorangle","Torque"
0.0,-0.008306106883488335
0.25,0.07239563461916726
0.5,0.1450234427210048
0.75,0.2064976694380971
1.0,0.24982780731327744
1.25,0.27542947830356573
1.5,0.2830365740301634
1.75,0.27380497216391875
2.0,0.2522740087780788
2.25,0.21962453756447417
2.5,0.18199241749728087
2.75,0.14091668879378527
3.0,0.10126757383546103
3.25,0.06574859727540514
3.5,0.03577267324772206
3.75,0.01357456912826512
4.0,-0.003000288355365
4.25,-0.013412076142163791
4.5,-0.021232976005826257
4.75,-0.025520091173722784
5.0,-0.029144934893093888
5.25,-0.030572822909630704
5.5,-0.031337547133603594
5.75,-0.03076102349202379
6.0,-0.028923368762684264
6.25,-0.026846490575997417
6.5,-0.023381337849757686
6.75,-0.020656119639036456
7.0,-0.016647037575556967
7.25,-0.013733563703091888
7.5,-0.010057134307610864
