"rotorangle","Torque"
0.0,-0.008579302764470303
0.125,0.03309830646801865
0.25,0.07528849778715156
0.375,0.116473004390234
0.5,0.15290190369974688
0.625,0.1860256456648131
0.75,0.21640614539419975
0.875,0.24122909270986753
1.0,0.26066103838428795
1.125,0.27638452785894063
1.25,0.28751311010512925
1.375,0.29295026722929424
1.5,0.29415552258464633
1.625,0.2922100695307492
1.75,0.28550699523059303
1.875,0.27452862417876334
2.0,0.2618819597501406
2.125,0.24644871698651824
2.25,0.22760163847954856
2.375,0.20824302804778896
2.5,0.18861113835396
2.625,0.16714272586337472
2.75,0.14554601881752097
2.875,0.1258732901011212
3.0,0.10591183074486536
3.125,0.08569334356419944
3.25,0.06886275449406955
3.375,0.05326841772059188
3.5,0.03762879146766039
3.625,0.025383045361536336
3.75,0.015634060440450608
3.875,0.005982370118088942
4.0,-0.0016310554206232233
4.125,-0.006138190628520343
4.25,-0.010883963398176584
4.375,-0.015329029046722993
4.5,-0.016889142887194935
4.625,-0.0186082880558938
4.75,-0.021199186896792985
4.875,-0.021786772199422624
5.0,-0.02156480586037232
5.125,-0.022558810250138
5.25,-0.022810472962164537
5.375,-0.02121319955311631
5.5,-0.020822948130237072
5.625,-0.021006945853270887
5.75,-0.01907963263094337
5.875,-0.017903841232272327
6.0,-0.018134098243336384
6.125,-0.01683836907683115
6.25,-0.015102971707653135
6.375,-0.014868377415066952
6.5,-0.014137339746678808
6.625,-0.01168762887043188
6.75,-0.010504823774868832
6.875,-0.009939195302208385
7.0,-0.007286782469003211
7.125,-0.005439773612112129
7.25,-0.005056836845903317
7.375,-0.0032363263812550456
7.5,-0.0010672414256182425
