"rotorangle","Torque"
0.0,-0.016161814618431834
0.125,0.02787894960204157
0.25,0.07271512368965832
0.375,0.11272896935811536
0.5,0.14957272512423295
0.625,0.1852134056500076
0.75,0.21592195194763544
0.875,0.23983926148399295
1.0,0.26009781559347855
1.125,0.2770039785038607
1.25,0.287276511877425
1.375,0.2920416522855081
1.5,0.2939873015081498
1.625,0.2924545392325882
1.75,0.28479160975539874
1.875,0.2738893476298681
2.0,0.261544018134006
2.125,0.24640740280222168
2.25,0.22693837173027953
2.375,0.20696395938829767
2.5,0.1871047629935152
2.625,0.16543084624742088
2.75,0.14207143857748977
2.875,0.12093870360505808
3.0,0.10120966059715553
3.125,0.08076494386863096
3.25,0.06167995809846153
3.375,0.046243417470399034
3.5,0.03309021849431667
3.625,0.019850735623273302
3.75,0.008839592206487504
3.875,0.001166114630596432
4.0,-0.004861429190860855
4.125,-0.011729446408903112
4.25,-0.016675171014791407
4.375,-0.01911639935453069
4.5,-0.021568589388989704
4.625,-0.025050683124211465
4.75,-0.026724638335404977
4.875,-0.026628143280624992
5.0,-0.027800037910409327
5.125,-0.02947812936533437
5.25,-0.029352825788641262
5.375,-0.028155279099155966
5.5,-0.02893397212330004
5.625,-0.029428135375961784
5.75,-0.028109267299252897
5.875,-0.026520277571611017
6.0,-0.026931399369811457
6.125,-0.02631826671566048
6.25,-0.02400695368316869
6.375,-0.02234769415562632
6.5,-0.02218868578760455
6.625,-0.020654378326139144
6.75,-0.017776628683377208
6.875,-0.01653861438891072
7.0,-0.016111569859098177
7.125,-0.014164874869476016
7.25,-0.011422879145973511
7.375,-0.010868340213186887
7.5,-0.010218849781432168
