"rotorangle","Torque"
0.0,-0.008484995256888256
0.125,0.033738833713234107
0.25,0.07724616128751985
0.375,0.11833264573532856
0.5,0.1551492014453536
0.625,0.1874238875665772
0.75,0.21671537744162073
0.875,0.24177221623653952
1.0,0.2610592274834336
1.125,0.2752387016030178
1.25,0.2848782152763727
1.375,0.29003170113169785
1.5,0.290296233124922
1.625,0.2862852452536872
1.75,0.2792637649861842
1.875,0.26923880827422975
2.0,0.25618297912106935
2.125,0.2405495846837264
2.25,0.2229366062654096
2.375,0.20428337650139575
2.5,0.18416377718448249
2.625,0.16271704127835487
2.75,0.14055171616725817
2.875,0.11916855280660232
3.0,0.09919777854035176
3.125,0.07960535799801019
3.25,0.06108655857638964
3.375,0.04422415799787416
3.5,0.029802842642346616
3.625,0.01741374162982295
3.75,0.006705873413228508
3.875,-0.002714077800550552
4.0,-0.010837384364541904
4.125,-0.017155146757995735
4.25,-0.02200947835363765
4.375,-0.02584895039497548
4.5,-0.02935566623344696
4.625,-0.031731029272028866
4.75,-0.0328854977198437
4.875,-0.032712324004582904
5.0,-0.031851259281843874
5.125,-0.031475266146223674
5.25,-0.03087485944938123
5.375,-0.029654303217811928
5.5,-0.028063512207846017
5.625,-0.027189287001196463
5.75,-0.026381664886071608
5.875,-0.024891038719177607
6.0,-0.022914370111284665
6.125,-0.020603056083573337
6.25,-0.018686052303502176
6.375,-0.01695229734667952
6.5,-0.015225517981015927
6.625,-0.013378932033492
6.75,-0.011946857419223775
6.875,-0.011490407170765935
7.0,-0.011126826751941736
7.125,-0.010675465840044472
7.25,-0.010299787723895976
7.375,-0.010314000574901065
7.5,-0.010252291507690664
