"rotorangle","Torque"
0.0,0.01165865380582644
0.125,0.058953133969604304
0.25,0.10677083442036384
0.375,0.1521998571531777
0.5,0.19329860502252255
0.625,0.22848733373741975
0.75,0.2590775101007405
0.875,0.2845253149010675
1.0,0.30503137510214806
1.125,0.31998147702190793
1.25,0.32923275264273894
1.375,0.33307712879019213
1.5,0.331972772571772
1.625,0.3269882514152384
1.75,0.31814288322730233
1.875,0.3059138743048765
2.0,0.2901801150759013
2.125,0.2718432346566444
2.25,0.25181133853434934
2.375,0.23040212137643992
2.5,0.2081731350202544
2.625,0.1845004881812036
2.75,0.16007612141018937
2.875,0.13599427187710544
3.0,0.11405824336263712
3.125,0.0935184094121612
3.25,0.07369121000307681
3.375,0.0558676828133494
3.5,0.04095436747580185
3.625,0.028557112012237817
3.75,0.017759648728372712
3.875,0.008542605784126368
4.0,0.0009694874766296048
4.125,-0.0054474760443965035
4.25,-0.010921436269080575
4.375,-0.015620010104190911
4.5,-0.0194973753230638
4.625,-0.02219493558559928
4.75,-0.023830284719698232
4.875,-0.02458524300402011
5.0,-0.02432150270386547
5.125,-0.02288928262953497
5.25,-0.020942804478242448
5.375,-0.019169320456994255
5.5,-0.017427540388228423
5.625,-0.015826125182880985
5.75,-0.014922497373837272
5.875,-0.014171669374401103
6.0,-0.013054022670450896
6.125,-0.01186830176044356
6.25,-0.010543490685529951
6.375,-0.008570467276563304
6.5,-0.006211342166218302
6.625,-0.004050770499146506
6.75,-0.0019014069473839415
6.875,0.0002883919688442856
7.0,0.001959290815245356
7.125,0.002916492820786311
7.25,0.003472949247807096
7.375,0.0034814677805132025
7.5,0.002997103026908353
