"rotorangle","Torque"
0.0,0.010507141911144153
0.125,0.05787227028978027
0.25,0.1055259559360524
0.375,0.15104073320350583
0.5,0.19245686684357463
0.625,0.2277472989407484
0.75,0.258201776024552
0.875,0.28332198141431103
1.0,0.3039250160887097
1.125,0.31894984831728207
1.25,0.3280798123905021
1.375,0.3316166293878327
1.5,0.33014233682402705
1.625,0.325241759897786
1.75,0.3164863036403006
1.875,0.30424997644093166
2.0,0.28839686152459026
2.125,0.2700420058115579
2.25,0.25033198973663445
2.375,0.22912589435765504
2.5,0.2069283565216677
2.625,0.18314185659565063
2.75,0.158707733679134
2.875,0.1347737217505117
3.0,0.11285023525149544
3.125,0.09215659316950608
3.25,0.07211001829208559
3.375,0.054291430268848355
3.5,0.039457483241602
3.625,0.027020369959903392
3.75,0.01606579417346287
3.875,0.0066447564074413315
4.0,-0.0009595209192721824
4.125,-0.007264329689038953
4.25,-0.01266462545101712
4.375,-0.017394129016259047
4.5,-0.02133194176693879
4.625,-0.023845322174784495
4.75,-0.02528005399662339
4.875,-0.02600086762808007
5.0,-0.02590667603760751
5.125,-0.024602663027098633
5.25,-0.022553574627046952
5.375,-0.02084592083254659
5.5,-0.01942121206224836
5.625,-0.018369344780897794
5.75,-0.01791271315695864
5.875,-0.017352828843662647
6.0,-0.016526897875792528
6.125,-0.01576032303812464
6.25,-0.014901219315940488
6.375,-0.013017624955265808
6.5,-0.010541853485515552
6.625,-0.008316806115791097
6.75,-0.006161218601107375
6.875,-0.003992056236443203
7.0,-0.0019849358120548792
7.125,-0.0005602487641852253
7.25,0.00033636847529139584
7.375,0.0005199324031645823
7.5,0.00012222461603512928
