"rotorangle","Torque"
0.0,0.02025461682378976
0.125,0.06721556286168426
0.25,0.11465348553610416
0.375,0.15961129446374847
0.5,0.20011461994633784
0.625,0.23471425724494543
0.75,0.2649317566004697
0.875,0.289994935033019
1.0,0.30985858295368673
1.125,0.32413109155773345
1.25,0.3329116487127911
1.375,0.3365390915540384
1.5,0.3352932347589042
1.625,0.3299810005289931
1.75,0.3208991223592554
1.875,0.3087225236569492
2.0,0.2932902753326283
2.125,0.27524329816507553
2.25,0.2553236440233917
2.375,0.23413040528988488
2.5,0.21233180781397143
2.625,0.1892579755088752
2.75,0.1654173835379383
2.875,0.1415912027504076
3.0,0.11995965025657912
3.125,0.09974512038179432
3.25,0.08013494360547792
3.375,0.06217554471271128
3.5,0.04689580347171787
3.625,0.034179277581718515
3.75,0.02309918247889781
3.875,0.013612146653038136
4.0,0.005539774249939899
4.125,-0.0012950030161685833
4.25,-0.006996674238978345
4.375,-0.011726356009795744
4.5,-0.015422135034302929
4.625,-0.018368265706646625
4.75,-0.01998035589617231
4.875,-0.020944654980802863
5.0,-0.020535684462373097
5.125,-0.019406980947543232
5.25,-0.017614099930138936
5.375,-0.016115132476122257
5.5,-0.014374970180627888
5.625,-0.01255062959854128
5.75,-0.011474525155957751
5.875,-0.0107181914346962
6.0,-0.009633929583234871
6.125,-0.00835883926279632
6.25,-0.006942425418706655
6.375,-0.005149829361435182
6.5,-0.003059581183125229
6.625,-0.0012554767382609024
6.75,0.001016024529433168
6.875,0.0037259054399163822
7.0,0.005285713006077303
7.125,0.006647571298043414
7.25,0.007418011841458572
7.375,0.00779552291048511
7.5,0.007451726655660407
