"rotorangle","Torque"
0.0,0.011034797113314511
0.125,0.05363030656476542
0.25,0.09711490510491608
0.375,0.138789139397506
0.5,0.1762384738123449
0.625,0.208728179669786
0.75,0.23759343510783665
0.875,0.2617210919466765
1.0,0.28147207391876505
1.125,0.2962962376670224
1.25,0.3060558043851416
1.375,0.31091224579273086
1.5,0.3119194385022927
1.625,0.30911361708332774
1.75,0.30241615767196667
1.875,0.29162863775967207
2.0,0.27745168939437587
2.125,0.26185742014959407
2.25,0.24450413644318264
2.375,0.22519423848617823
2.5,0.2039689698445757
2.625,0.1823603206832064
2.75,0.16049048449038672
2.875,0.13909853591602064
3.0,0.11750223822796271
3.125,0.0958402969819704
3.25,0.0758738023831268
3.375,0.05857244263832717
3.5,0.04348983748525559
3.625,0.029692275595635368
3.75,0.017920397282113785
3.875,0.00813200159566904
4.0,7.622567817944237e-05
4.125,-0.006513650103509516
4.25,-0.011675484020334968
4.375,-0.01573821354446847
4.5,-0.018931095405058104
4.625,-0.021251834295685945
4.75,-0.022754913887512888
4.875,-0.023620569920572376
5.0,-0.023836798159046463
5.125,-0.023592904683291897
5.25,-0.022932885741783815
5.375,-0.02190005844562601
5.5,-0.02080618539217705
5.625,-0.019756451225153567
5.75,-0.018542652890070063
5.875,-0.01735177638324936
6.0,-0.01633841041443901
6.125,-0.015012571599016976
6.25,-0.013315443198272936
6.375,-0.011476043420670577
6.5,-0.009295055831614689
6.625,-0.006856310058356768
6.75,-0.004781351312818621
6.875,-0.0030555206678664903
7.0,-0.0014595780682604975
7.125,-0.0001876305773167164
7.25,0.0008175226849138904
7.375,0.0017527948347366704
7.5,0.0025870070843379
