"rotorangle","Torque"
0.0,0.013025480625395056
0.25,0.10813546405743664
0.5,0.19464294983829225
0.75,0.260403841668895
1.0,0.30636106788737566
1.25,0.3305921779721784
1.5,0.333417023581988
1.75,0.31972897777891746
2.0,0.2919539584200137
2.25,0.25381647948570935
2.5,0.210398216945188
2.75,0.16247381223201848
3.0,0.11653510040627432
3.25,0.07611005638047551
3.5,0.04319434428139682
3.75,0.01975152853276805
4.0,0.002660400286548656
4.25,-0.009499078578569936
4.5,-0.01830076449903536
4.75,-0.02278634298463275
5.0,-0.02334903388786177
5.25,-0.019969769631636193
5.5,-0.016418318365232304
5.75,-0.013852162175434689
6.0,-0.011927090508840927
6.25,-0.00936564520711628
6.5,-0.004989379886079338
6.75,-0.0006339188165287181
7.0,0.0032783586660147176
7.25,0.004827659627755553
7.5,0.0043804288064584074
