"rotorangle","Torque"
0.0,0.013025599592528673
0.125,0.060322845104555725
0.25,0.1081355008319084
0.375,0.1535548274527668
0.5,0.19464313295013191
0.625,0.22982167958733343
0.75,0.2604038430468305
0.875,0.2858449898387068
1.0,0.30636106788737566
1.125,0.32131981141892973
1.25,0.33059217626804965
1.375,0.334471209444395
1.5,0.333417023581988
1.625,0.3284969967678278
1.75,0.3197284881866076
1.875,0.3075901040469564
2.0,0.29195395885385816
2.125,0.27373238501467545
2.25,0.25381647862832657
2.375,0.2325245686051492
2.5,0.21039793333790463
2.625,0.18681733145258592
2.75,0.16247381146836784
2.875,0.13844768613343472
3.0,0.1165351012347852
3.125,0.0959795834753524
3.25,0.07610990068650363
3.375,0.058207017759042454
3.5,0.04319434428139682
3.625,0.030686383275051136
3.75,0.019751527928608584
3.875,0.010388247168682497
4.0,0.0026603996428744775
4.125,-0.0038987935224703567
4.25,-0.009499979573451105
4.375,-0.01431270431230676
4.5,-0.018301851833222298
4.625,-0.021084814940170584
4.75,-0.022785076541778127
4.875,-0.023585780988901527
5.0,-0.02334903388786177
5.125,-0.021922841759999992
5.25,-0.01996976963167864
5.375,-0.018182403867741264
5.5,-0.016416728162913903
5.625,-0.014787349526060088
5.75,-0.013852162175434689
5.875,-0.013070739391045217
6.0,-0.01192709053414888
6.125,-0.010715064215465048
6.25,-0.009367466175040664
6.375,-0.007367982718577745
6.5,-0.004991144177000322
6.625,-0.0028050806492781895
6.75,-0.000632264350953395
6.875,0.0015837409704221208
7.0,0.0032798522423441016
7.125,0.0042541871634699645
7.25,0.0048289381236329395
7.375,0.004856863558850741
7.5,0.004380428806629041
