"rotorangle","Torque"
0.0,-0.0004495310386324576
0.125,0.04030094747444887
0.25,0.08070224803512369
0.375,0.11853853642622145
0.5,0.15415242793994768
0.625,0.18630391213217729
0.75,0.21413112554143968
0.875,0.2378543584002243
1.0,0.25688818142704034
1.125,0.2710321363640577
1.25,0.2805518879428307
1.375,0.28545596254680766
1.5,0.2858924580757172
1.625,0.28238544629139706
1.75,0.2750963474380948
1.875,0.2644199463775618
2.0,0.25088091424413234
2.125,0.23505699393318832
2.25,0.21710925694587488
2.375,0.19797651683564016
2.5,0.17772595966268465
2.625,0.15701696652158767
2.75,0.13660637801653527
2.875,0.1162755991546668
3.0,0.09700640870043384
3.125,0.07908411202749371
3.25,0.06226072824909756
3.375,0.04746529984446784
3.5,0.03422817556798726
3.625,0.022821183740829233
3.75,0.013285647384949816
3.875,0.0051507021820509855
4.0,-0.001291569869411645
4.125,-0.006534017324073317
4.25,-0.010756288320013817
4.375,-0.01386724199175804
4.5,-0.016342905281711825
4.625,-0.01811104138301315
4.75,-0.019253836952406535
4.875,-0.02012226760451272
5.0,-0.02041502845228389
5.125,-0.02046724849708311
5.25,-0.020393022991955664
5.375,-0.019880952016587985
5.5,-0.01936190105931504
5.625,-0.018698471878875855
5.75,-0.017811351753418008
5.875,-0.01701189368013489
6.0,-0.016006737730386952
6.125,-0.014920107568662456
6.25,-0.013862808934082984
6.375,-0.012601864209663928
6.5,-0.011348811867625343
6.625,-0.010142462773192633
6.75,-0.008719593532838703
6.875,-0.007427450166571467
7.0,-0.0060791661290087095
7.125,-0.0046622215590696545
7.25,-0.0034298839337026095
7.375,-0.0020514463116647137
7.5,-0.0006953528460903835
