"rotorangle","Torque"
0.0,0.018824132102057824
0.125,0.06574986214201965
0.25,0.11315685535928896
0.375,0.15811873377298336
0.5,0.19863029024351567
0.625,0.23331769617887513
0.75,0.2635984154823543
0.875,0.28882402148442565
1.0,0.3088790083893644
1.125,0.32329246767551895
1.25,0.3322002540341909
1.375,0.3359277379502522
1.5,0.33473908110081496
1.625,0.3294838941311909
1.75,0.32043706932834526
1.875,0.3082529685143668
2.0,0.2927721439302737
2.125,0.27465625684374617
2.25,0.2546687825843282
2.375,0.23336049439969
2.5,0.211405538094736
2.625,0.1881295670326391
2.75,0.16399166610851432
2.875,0.13995152278813
3.0,0.11803098288396
3.125,0.09763043863684832
3.25,0.07794286845510454
3.375,0.059927081709987624
3.5,0.04461016988022224
3.625,0.031917197052678155
3.75,0.02097514368160492
3.875,0.011623509327493816
4.0,0.003701638729749703
4.125,-0.003088676434899328
4.25,-0.008713112848697383
4.375,-0.013338234925873648
4.5,-0.017099464151795328
4.625,-0.01982419833923583
4.75,-0.021491156637670265
4.875,-0.022126441867626495
5.0,-0.02164288153087201
5.125,-0.020140203723269703
5.25,-0.01832448016305508
5.375,-0.016639519403443367
5.5,-0.014843412192559215
5.625,-0.01309191350596208
5.75,-0.012087516813884824
5.875,-0.011419788747708664
6.0,-0.010381702277334176
6.125,-0.009120745760185057
6.25,-0.007678975416422861
6.375,-0.005816400726862212
6.5,-0.00367693004986366
6.625,-0.0015777441073252809
6.75,0.0006921334522478781
6.875,0.0030514464058683656
7.0,0.004761338364201438
7.125,0.005706608946772983
7.25,0.006360639577246269
7.375,0.006635057736497145
7.5,0.006409197503956032
