"rotorangle","Torque"
0.0,0.01201862101950264
0.25,0.10699535195231633
0.5,0.1926553262847049
0.75,0.2581951868557756
1.0,0.30417426748387055
1.25,0.3279043311185698
1.5,0.33110689887420663
1.75,0.31649779432904435
2.0,0.28859006103188306
2.25,0.24984023504835703
2.5,0.20623520277488616
2.75,0.15916602644082872
3.0,0.11348758043342023
3.25,0.07418123055797149
3.5,0.04118940892868744
3.75,0.017898413060986527
4.0,0.0007909877039291902
4.25,-0.011851270537281937
4.5,-0.02050039777302893
4.75,-0.025886380035828663
5.0,-0.02662359443700441
5.25,-0.02376706860008768
5.5,-0.020180947323088255
5.75,-0.016687932345846104
6.0,-0.0147649910579592
6.25,-0.011628739496357992
6.5,-0.007937208813122322
6.75,-0.0036889232886798047
7.0,0.0003393402381930509
7.25,0.0017054819685289552
7.5,0.0019933691708723814
