"rotorangle","Torque"
0.0,0.02085935322189136
0.125,0.06784548924192599
0.25,0.11531126601622751
0.375,0.16029473228105096
0.5,0.20076776655412623
0.625,0.23536846057261465
0.75,0.26552959356913874
0.875,0.29058441112042355
1.0,0.31039173261052655
1.125,0.3245745005366597
1.25,0.3333046203907789
1.375,0.3368898344156772
1.5,0.3356057236093586
1.625,0.3302592453050165
1.75,0.32114801782501445
1.875,0.30894522388229995
2.0,0.2935016464539083
2.125,0.2754335116806572
2.25,0.255472955032755
2.375,0.23422867258215904
2.5,0.21238001002805856
2.625,0.1892518894313321
2.75,0.1652899663149505
2.875,0.14143421627924488
3.0,0.11969187370437888
3.125,0.0994463251397308
3.25,0.07986585714921454
3.375,0.06189632190010996
3.5,0.04659293780272608
3.625,0.03388731115375171
3.75,0.022865729442637567
3.875,0.013397344111958503
4.0,0.005421167818426137
4.125,-0.001356763937167188
4.25,-0.00698563171621866
4.375,-0.011625994533648983
4.5,-0.015370027037926368
4.625,-0.01808376086474456
4.75,-0.019798086465280584
4.875,-0.020554178713196647
5.0,-0.020275929091735066
5.125,-0.019009066043363384
5.25,-0.017385752234670208
5.375,-0.0158371511737776
5.5,-0.014160048029995792
5.625,-0.012486395663094368
5.75,-0.011480496298835272
5.875,-0.010790231216724648
6.0,-0.009754797645693343
6.125,-0.008504458099804128
6.25,-0.007088998606641195
6.375,-0.005297249173774832
6.5,-0.003216643340972436
6.625,-0.0011191542619276296
6.75,0.001172891654405456
6.875,0.0035984104086350666
7.0,0.005437946600934884
7.125,0.006537037457662265
7.25,0.0073304196465817095
7.375,0.007735077812289715
7.5,0.007609069607219882
