"rotorangle","Torque"
0.0,0.0002799695245513622
0.125,0.044408116738377135
0.25,0.0894626233237564
0.375,0.1328336147782135
0.5,0.17235166652281927
0.625,0.2064489854806771
0.75,0.23642599732286
0.875,0.2614447434042893
1.0,0.28267506378176543
1.125,0.2987231098720615
1.25,0.30879375705498546
1.375,0.31316460861695505
1.5,0.3139220689578885
1.625,0.31160889629388777
1.75,0.3047235784024228
1.875,0.2934953808881912
2.0,0.2786295175505135
2.125,0.26267787640233314
2.25,0.24487487663950952
2.375,0.2252180397991208
2.5,0.20318938913795975
2.625,0.1805907783674536
2.75,0.1583636383181835
2.875,0.13653693830293753
3.0,0.11535238725828456
3.125,0.09417434512924008
3.25,0.07417046359883833
3.375,0.05654764444749426
3.5,0.04167035442817604
3.625,0.02839112467690472
3.75,0.016787755629165874
3.875,0.007189864787559079
4.0,-0.0004929577749337721
4.125,-0.006930429453235298
4.25,-0.012243391682849023
4.375,-0.016610252370313303
4.5,-0.019997526579740993
4.625,-0.022944092198784825
4.75,-0.025051574625677864
4.875,-0.02664129306495336
5.0,-0.027636306072938183
5.125,-0.028100476474931496
5.25,-0.027767416408402745
5.375,-0.02678753950913657
5.5,-0.025256033404724126
5.625,-0.023766920940617817
5.75,-0.02208242204692079
5.875,-0.02010205316708611
6.0,-0.01783082310758835
6.125,-0.015724425196260664
6.25,-0.0137019771557384
6.375,-0.011535673534008016
6.5,-0.009251118386326888
6.625,-0.006911453613176605
6.75,-0.00509674992068182
6.875,-0.00361078957749994
7.0,-0.002444566297168684
7.125,-0.0013855504510374703
7.25,-0.0008033796502090744
7.375,-0.000640433437064325
7.5,-0.0003172095812534193
