"rotorangle","Torque"
0.0,0.018881416182967847
0.125,0.06583252516591671
0.25,0.11326947811223911
0.375,0.15825920522624304
0.5,0.19879734637328136
0.625,0.23350754358069073
0.75,0.2638108653314822
0.875,0.2890585212491175
1.0,0.3091317459952138
1.125,0.323560297323128
1.25,0.3324791109762625
1.375,0.33621561745728645
1.5,0.335031718474166
1.625,0.3297787529521681
1.75,0.3207304711067061
1.875,0.30854082291729634
2.0,0.2930533720965113
2.125,0.2749269746113952
2.25,0.2549264321149844
2.375,0.23360325996815304
2.5,0.2116322013699756
2.625,0.18833841751279465
2.75,0.16418099191832103
2.875,0.1401208003865244
3.0,0.1181805850429912
3.125,0.09776091869735087
3.25,0.07805478516583322
3.375,0.060020829966533906
3.5,0.04468702055451782
3.625,0.03197921082876845
3.75,0.02102492925221981
3.875,0.011662705503260104
4.0,0.0037317688131335474
4.125,-0.003064797614478747
4.25,-0.008693009359261311
4.375,-0.01331886869156588
4.5,-0.01707844480431243
4.625,-0.01980067290297572
4.75,-0.021463564845474258
4.875,-0.02209380152054957
5.0,-0.021605412334788153
5.125,-0.020097230526170014
5.25,-0.018278322731756464
5.375,-0.016590957992460232
5.5,-0.014795676918897743
5.625,-0.013045163483879057
5.75,-0.01204379978491396
5.875,-0.011381952114969
6.0,-0.010349844960292632
6.125,-0.00909297934661808
6.25,-0.007655380166399527
6.375,-0.005795239665923088
6.5,-0.003655328737153353
6.625,-0.001552465869796192
6.75,0.0007243844982200919
6.875,0.003094231030386838
7.0,0.004817128260305863
7.125,0.0057752059548232555
7.25,0.006443028225310099
7.375,0.00672846634958877
7.5,0.006512785516581006
