"rotorangle","Torque"
0.0,0.019581653423305912
0.125,0.06661770330522221
0.25,0.11414073922033544
0.375,0.15918614116119545
0.5,0.1997291616002725
0.625,0.2343871408512512
0.75,0.2646141963521624
0.875,0.2897252568782132
1.0,0.3095805214673577
1.125,0.3237727336184724
1.25,0.33251418143015554
1.375,0.3361044958152995
1.5,0.3347877802139206
1.625,0.3293883140198095
1.75,0.3202441098938966
1.875,0.3080277537050677
2.0,0.29256315368450514
2.125,0.27447479803951685
2.25,0.25450623031307174
2.375,0.23322938173333713
2.5,0.21129910457609624
2.625,0.18806366551734544
2.75,0.1639431297469139
2.875,0.13989415728169025
3.0,0.11794581800406265
3.125,0.09751278437291824
3.25,0.07776068106777592
3.375,0.0596707163304889
3.5,0.04427709982028456
3.625,0.03153325709265831
3.75,0.02056670339618532
3.875,0.01120677257917124
4.0,0.0033156579596067544
4.125,-0.003378932525969681
4.25,-0.00886714765881836
4.375,-0.013324381102708695
4.5,-0.016915938328339576
4.625,-0.019489995010661648
4.75,-0.021038754140211544
4.875,-0.02161599996829088
5.0,-0.021153177082044304
5.125,-0.019709982829029072
5.25,-0.017953056757835224
5.375,-0.0163680385121096
5.5,-0.014722318316580793
5.625,-0.013141965716063448
5.75,-0.01229005623791308
5.875,-0.011780939627611791
6.0,-0.010904933458285544
6.125,-0.00978909427388896
6.25,-0.008474102622278353
6.375,-0.0067060671025939034
6.5,-0.004608978214341046
6.625,-0.0024737784956317937
6.75,-0.000118790732007566
6.875,0.002378680482656234
7.0,0.004263155544756315
7.125,0.005389889339972596
7.25,0.0061961911689729365
7.375,0.006596184168860332
7.5,0.006445844253716057
