"rotorangle","Torque"
0.0,0.01397703173396836
0.125,0.061318918839720474
0.25,0.1091743591218524
0.375,0.15461267466279233
0.5,0.19557276056900855
0.625,0.23061836464652496
0.75,0.26102641823557826
0.875,0.2862156581131961
1.0,0.30635705248952266
1.125,0.3209647507619205
1.25,0.3298995221050024
1.375,0.3334745997082346
1.5,0.33215632651589305
1.625,0.32696268651582294
1.75,0.3180670289322952
1.875,0.30591876979533034
2.0,0.29042212283840274
2.125,0.2723755653978854
2.25,0.2526234603742868
2.375,0.2315844400497732
2.5,0.20976182798853815
2.625,0.18654315356567536
2.75,0.16256697847652912
2.875,0.13887729996068457
3.0,0.11724605938059904
3.125,0.09693418951400144
3.25,0.07719786811926546
3.375,0.059276413831680766
3.5,0.04413372536507292
3.625,0.03143827538398141
3.75,0.02024619529158488
3.875,0.010576337752803384
4.0,0.0025638374041864263
4.125,-0.0041875490469496235
4.25,-0.009908893109348128
4.375,-0.014795391267671288
4.5,-0.01879488469241355
4.625,-0.021551174847402495
4.75,-0.0231961715444472
4.875,-0.023971889924987153
5.0,-0.023776001380829248
5.125,-0.02239721804031883
5.25,-0.020442340746318583
5.375,-0.018626285992751512
5.5,-0.016840569138258064
5.625,-0.01516938376837896
5.75,-0.014136360615990991
5.875,-0.013296044811871608
6.0,-0.012175608594377784
6.125,-0.011034307627774097
6.25,-0.009818830564347904
6.375,-0.008036449907715664
6.5,-0.005840241425616052
6.625,-0.003747108184121516
6.75,-0.0016061264898101777
6.875,0.0006775953834219223
7.0,0.0025526538611873174
7.125,0.0037473739250850134
7.25,0.004520982144856342
7.375,0.004771222685628497
7.5,0.004492079097792659
