"rotorangle","Torque"
0.0,-0.008436110704601991
0.25,0.07245072829078616
0.5,0.14601662350511055
0.75,0.2058952786861136
1.0,0.24811590389860536
1.25,0.2712979985779582
1.5,0.2761432828135481
1.75,0.26471271911222466
2.0,0.24001751960526463
2.25,0.20572483290992552
2.5,0.1658514025524236
2.75,0.12441617275241096
3.0,0.08515049764178304
3.25,0.05098329858236378
3.5,0.02351783362900892
3.75,0.003077366457309189
4.0,-0.011069210467202273
4.25,-0.020178197413155432
4.5,-0.02557607368822561
4.75,-0.028346847308908584
5.0,-0.029340913362538343
5.25,-0.029131324655062112
5.5,-0.028125468905656273
5.75,-0.026551055449003862
6.0,-0.024580329047684552
6.25,-0.02227811807869679
6.5,-0.019739925216104248
6.75,-0.0170164799814892
7.0,-0.014179470959286688
7.25,-0.011296702790691495
7.5,-0.008435609958759848
