"rotorangle","Torque"
0.0,0.012885065791915024
0.125,0.060090567855243374
0.25,0.10771334815467735
0.375,0.15309486879271855
0.5,0.1942469122615772
0.625,0.22940212574191096
0.75,0.25991099020369385
0.875,0.28516906142432064
1.0,0.3057845979374776
1.125,0.3208494826407158
1.25,0.33012490511793713
1.375,0.333922665480707
1.5,0.3327125113238346
1.625,0.32796032137721987
1.75,0.3192944754219413
1.875,0.3072023905697941
2.0,0.2915271305332828
2.125,0.27328830377299385
2.25,0.25358626974999865
2.375,0.23241287316975112
2.5,0.21036646396746425
2.625,0.18679720773758512
2.75,0.16253479719687183
2.875,0.13867285398032145
3.0,0.11684855626606136
3.125,0.09633586234312529
3.25,0.07647355390566457
3.375,0.0586340886358826
3.5,0.04370215294462275
3.625,0.03121848613503852
3.75,0.02030570151449771
3.875,0.010917665743869712
4.0,0.003228755411441124
4.125,-0.003290527215292584
4.25,-0.008871506183088296
4.375,-0.01369948820534516
4.5,-0.01772507586930035
4.625,-0.020457178867337448
4.75,-0.022135787926042465
4.875,-0.022939615998030263
5.0,-0.022743531585051168
5.125,-0.02137505299175125
5.25,-0.01936452801819911
5.375,-0.017574518788599343
5.5,-0.015841018038736592
5.625,-0.01430372529162544
5.75,-0.013422919593613167
5.875,-0.012592214604635225
6.0,-0.011457423208011656
6.125,-0.010278377016094568
6.25,-0.009028996984395231
6.375,-0.007023870367017637
6.5,-0.004588458317208454
6.625,-0.0024045169223667487
6.75,-0.00025638104731756314
6.875,0.0018777025143951152
7.0,0.0036269501596446992
7.125,0.004652505093293343
7.25,0.0052335255519465294
7.375,0.005235685089391089
7.5,0.004689505141376198
