"rotorangle","Torque"
0.0,0.013166288232207696
0.125,0.06046518585737476
0.25,0.10803559011717384
0.375,0.15342045185510728
0.5,0.1942569648344336
0.625,0.2293010871510383
0.75,0.2598418682577011
0.875,0.2850614958562448
1.0,0.30554868901090754
1.125,0.320347925343892
1.25,0.329599053026836
1.375,0.3333956822531656
1.5,0.332238063522052
1.625,0.3272601910219139
1.75,0.3184340058002144
1.875,0.3062145448313863
2.0,0.2904991605651064
2.125,0.27220864029479913
2.25,0.2522728821829907
2.375,0.2310444735824552
2.5,0.20905021795990553
2.625,0.18573708865008784
2.75,0.16174657156520464
2.875,0.13810277502652143
3.0,0.1165733054869028
3.125,0.0963876654102212
3.25,0.07677868772217011
3.375,0.05903956366699789
3.5,0.044134778316845175
3.625,0.031705779636702285
3.75,0.020720286224005815
3.875,0.011276248062952025
4.0,0.0035736433612272023
4.125,-0.00294019362678602
4.25,-0.008551605852135576
4.375,-0.013493972608359136
4.5,-0.017602230484698833
4.625,-0.020496381615013767
4.75,-0.022392800897692272
4.875,-0.02341880947951244
5.0,-0.023536529461274654
5.125,-0.022430376565744984
5.25,-0.020664173889789608
5.375,-0.018950376029071767
5.5,-0.01725466798685335
5.625,-0.015598004406361023
5.75,-0.014574433711213
5.875,-0.013709213507607896
6.0,-0.012558847457703417
6.125,-0.011397464912988929
6.25,-0.010162132429609751
6.375,-0.008353033938431816
6.5,-0.006115160846981105
6.625,-0.003978526460373499
6.75,-0.0018192504597818184
6.875,0.0004920174011127376
7.0,0.002421925687356524
7.125,0.0036365695226708294
7.25,0.004434145853792454
7.375,0.004678354221975961
7.5,0.00436245833950516
