"rotorangle","Torque"
0.0,0.013308639157977071
0.125,0.06053386374404974
0.25,0.10815659312072208
0.375,0.15352622722274975
0.5,0.19467792286941984
0.625,0.22981735070880807
0.75,0.2602992292602304
0.875,0.2855374502079379
1.0,0.30612113298466287
1.125,0.32115678985849294
1.25,0.33040097815595953
1.375,0.3341665780809191
1.5,0.3329077658006851
1.625,0.32813140505552973
1.75,0.3194130170454522
1.875,0.3072771567626678
2.0,0.29158532556625766
2.125,0.273282230893629
2.25,0.2535435076681729
2.375,0.23233660464794592
2.5,0.21029828079155913
2.625,0.18666931385735583
2.75,0.16242652785526673
2.875,0.13850182610266976
3.0,0.1166547855892272
3.125,0.09618562358358423
3.25,0.07630640936651419
3.375,0.05842164786971337
3.5,0.043530320449831975
3.625,0.031025318146223217
3.75,0.020139398375758153
3.875,0.010757067506536672
4.0,0.0030845784796013184
4.125,-0.0034223907137535497
4.25,-0.008990637876175
4.375,-0.013812936217308912
4.5,-0.01782738557433913
4.625,-0.020508170979336104
4.75,-0.02216878648224241
4.875,-0.023008422376317377
5.0,-0.02275334154724872
5.125,-0.02142610705616791
5.25,-0.01935361037915588
5.375,-0.017611179383058072
5.5,-0.015870386603675783
5.625,-0.014294084836551368
5.75,-0.013417597898882447
5.875,-0.012607887176532672
6.0,-0.011470601503506568
6.125,-0.010297869235078416
6.25,-0.009060213881899384
6.375,-0.007065353610934388
6.5,-0.004600961209160707
6.625,-0.0024206100007421873
6.75,-0.00027695341847803416
6.875,0.0017993029431525591
7.0,0.0035948794393299353
7.125,0.004562704037105082
7.25,0.0051382368243171475
7.375,0.005180612892014587
7.5,0.004624875246151273
