"rotorangle","Torque"
0.0,0.014421629458796407
0.125,0.061766927440739416
0.25,0.10962717486623952
0.375,0.1550547835970188
0.5,0.1960947474722168
0.625,0.23111222820150568
0.75,0.2615116479920741
0.875,0.28671431078030807
1.0,0.3068431217589816
1.125,0.3214123808820052
1.25,0.33037200184354665
1.375,0.33398068662750074
1.5,0.3327095088721417
1.625,0.32761221312972866
1.75,0.31877014353991934
1.875,0.3066485280056668
2.0,0.2911289048772647
2.125,0.2730718413693497
2.25,0.25327477142623306
2.375,0.2321050790728136
2.5,0.2101291951281977
2.625,0.1867044149048984
2.75,0.16247807010290463
2.875,0.1385276025992224
3.0,0.11668456308997335
3.125,0.09620891888379976
3.25,0.07639593326483704
3.375,0.05845717549668525
3.5,0.04332695181290647
3.625,0.03071253069300344
3.75,0.019700442121892568
3.875,0.01026291871128984
4.0,0.0024627576887632577
4.125,-0.004084422779440572
4.25,-0.009585307932235328
4.375,-0.014244816313122912
4.5,-0.01806156766548717
4.625,-0.020673268432559063
4.75,-0.022219926945219015
4.875,-0.022945028059524617
5.0,-0.022750776100523368
5.125,-0.021443001953867103
5.25,-0.019612328670882338
5.375,-0.01796269535817524
5.5,-0.01637776710356544
5.625,-0.014922917767619583
5.75,-0.014104622431241543
5.875,-0.013423245130038257
6.0,-0.01240731250125428
6.125,-0.011311445196963385
6.25,-0.010062563150814215
6.375,-0.008191913832390553
6.5,-0.005905331826922218
6.625,-0.0037179298892278945
6.75,-0.0014752847125124873
6.875,0.0008893446802988872
7.0,0.0028158654635057623
7.125,0.004046784155217614
7.25,0.0048508261043503365
7.375,0.005112875980641668
7.5,0.004821711697920977
