"rotorangle","Torque"
0.0,0.011466679066139431
0.125,0.05875051072851086
0.25,0.10655256167501576
0.375,0.15196651789759272
0.5,0.19305523163016103
0.625,0.22823843923477552
0.75,0.2588245344818923
0.875,0.28426577480485427
1.0,0.30477789969230895
1.125,0.3197302699704306
1.25,0.328991439608715
1.375,0.3328464407723501
1.5,0.3317578748000603
1.625,0.3267927727769252
1.75,0.31797289775057463
1.875,0.30576876744649206
2.0,0.29005831964999657
2.125,0.2717574714329082
2.25,0.25175203428146253
2.375,0.23037478285436833
2.5,0.20817287326505313
2.625,0.18452122489784256
2.75,0.1601220601417488
2.875,0.13606182975738657
3.0,0.11414719878529168
3.125,0.09361621682324248
3.25,0.07380102163702439
3.375,0.055978874629806614
3.5,0.04106676088410513
3.625,0.028669619161039016
3.75,0.017862017821036982
3.875,0.008640325136329865
4.0,0.0010527269993752624
4.125,-0.005373961276668562
4.25,-0.010860909596809671
4.375,-0.015572837178312416
4.5,-0.019466626243798888
4.625,-0.022176130707143096
4.75,-0.023825355710528448
4.875,-0.02459202232277228
5.0,-0.024341116953419208
5.125,-0.022914982664639576
5.25,-0.020972642219004873
5.375,-0.019198620875295953
5.5,-0.017454443066907296
5.625,-0.015841718590434737
5.75,-0.01492686386055736
5.875,-0.014159721629892824
6.0,-0.01302720436897044
6.125,-0.0118246137450996
6.25,-0.010483440434311792
6.375,-0.008493193232364991
6.5,-0.006128885168885047
6.625,-0.003965467570258718
6.75,-0.00181835027543504
6.875,0.0003664694660237356
7.0,0.0020212610717806
7.125,0.0029516317280425313
7.25,0.0034824127956863426
7.375,0.003466462363519777
7.5,0.002944194186883815
