"rotorangle","Torque"
0.0,0.005828744113739348
0.125,0.05082258790516353
0.25,0.0964049493647848
0.375,0.1395202471195464
0.5,0.17794048170348783
0.625,0.21249756081688512
0.75,0.24310568687984377
0.875,0.2685432996102659
1.0,0.28856946709251663
1.125,0.30354470777660153
1.25,0.3135190832594393
1.375,0.31865897021797274
1.5,0.3190604950842096
1.625,0.3153460824539761
1.75,0.3077125447809174
1.875,0.2965538546150034
2.0,0.28267138579708107
2.125,0.2662020730708294
2.25,0.24754518826758745
2.375,0.22709880263197008
2.5,0.20593179043974696
2.625,0.18419848405137648
2.75,0.1616142386926844
2.875,0.13895872513196103
3.0,0.11764943348645976
3.125,0.09748488949721408
3.25,0.07774933589129576
3.375,0.05989579798210265
3.5,0.04484604582487029
3.625,0.031755715130623446
3.75,0.0202783333799966
3.875,0.01103417788351044
4.0,0.0034494991958285985
4.125,-0.0027644409601959015
4.25,-0.007607911749679369
4.375,-0.011230189324745095
4.5,-0.014047960384673656
4.625,-0.016169281829300382
4.75,-0.017611574245410048
4.875,-0.01849048836316472
5.0,-0.018983081822658458
5.125,-0.019187875818866
5.25,-0.01912859396139524
5.375,-0.018752204289293608
5.5,-0.018202173964650074
5.625,-0.01752046140795524
5.75,-0.016750618750107225
5.875,-0.015814706954683455
6.0,-0.014809433152315088
6.125,-0.013770253969693584
6.25,-0.012728050847524815
6.375,-0.011546984866212888
6.5,-0.01032736097168288
6.625,-0.00910823585881204
6.75,-0.00789883494807278
6.875,-0.006605745253444317
7.0,-0.005298398965929263
7.125,-0.003997727669712681
7.25,-0.0027254805829369233
7.375,-0.0013512783693445665
7.5,1.5194130358886504e-06
