"rotorangle","Torque"
0.0,-0.015019745064694863
0.125,0.028406871944830575
0.25,0.07378883885695006
0.375,0.11375078188557808
0.5,0.1505479931794472
0.625,0.18555140465671408
0.75,0.21683323372746113
0.875,0.24011213510079912
1.0,0.2609540147408618
1.125,0.27787029481905146
1.25,0.2875726393333755
1.375,0.29235877262693577
1.5,0.2948893261888568
1.625,0.2933963718660627
1.75,0.28575173135868326
1.875,0.27436531326961194
2.0,0.26205537408533897
2.125,0.24694848636964328
2.25,0.2279187074177212
2.375,0.20791565335467743
2.5,0.18760643447643535
2.625,0.16588703132937335
2.75,0.1424650648374944
2.875,0.12166083124301616
3.0,0.10187151411554704
3.125,0.0809871182320164
3.25,0.06220096351035975
3.375,0.046354250267518896
3.5,0.03317279242734604
3.625,0.019909772935122607
3.75,0.00925898532489308
3.875,0.0012550835101720057
4.0,-0.004713954183584057
4.125,-0.011513535309580825
4.25,-0.016015792183503904
4.375,-0.018378097575107447
4.5,-0.021140537214689312
4.625,-0.024180449937134696
4.75,-0.02620389650765811
4.875,-0.026094644928769287
5.0,-0.026859490547998105
5.125,-0.028938274234231152
5.25,-0.028410144046541855
5.375,-0.02722264948754327
5.5,-0.02842842844352717
5.625,-0.028518972407438784
5.75,-0.02764464237725792
5.875,-0.02565129533695021
6.0,-0.02651426876074803
6.125,-0.025496880870902544
6.25,-0.023616599073940096
6.375,-0.021949207056699952
6.5,-0.021347832793725128
6.625,-0.020210133190938704
6.75,-0.017285421879120296
6.875,-0.01601191274790567
7.0,-0.015140376313779512
7.125,-0.01319057230662804
7.25,-0.010896429785311496
7.375,-0.010388100888527704
7.5,-0.009351169435319552
