"rotorangle","Torque"
0.0,0.019579687402739736
0.25,0.11414395742179496
0.5,0.19972770520773392
0.75,0.2646141963521624
1.0,0.30957944897408374
1.25,0.33252189131935594
1.5,0.33478063903244853
1.75,0.32025136385018177
2.0,0.29256315368439073
2.25,0.2545065730352925
2.5,0.21129933670377368
2.75,0.16394326274347296
3.0,0.11795092142890096
3.25,0.07776499187932995
3.5,0.04427709982028455
3.75,0.0205667033960318
4.0,0.0033172328279810026
4.25,-0.008866081955068968
4.5,-0.01691627682204351
4.75,-0.021038959777157126
5.0,-0.021153177082044304
5.25,-0.01795480712865065
5.5,-0.014721766639744609
5.75,-0.012290671201664456
6.0,-0.01090425283843232
6.25,-0.008476230905136896
6.5,-0.004605776738041846
6.75,-0.00011785460844539304
7.0,0.00426210688545583
7.25,0.0062001338329755245
7.5,0.006447134806614596
