"rotorangle","Torque"
0.0,0.01392986119158668
0.125,0.06125553079619586
0.25,0.1090717585388004
0.375,0.15448925934115249
0.5,0.19549785441555168
0.625,0.23053636537774616
0.75,0.2609335021868194
0.875,0.28614517321292815
1.0,0.3063489820452214
1.125,0.32105262943933566
1.25,0.3302387603742142
1.375,0.33413958414211054
1.5,0.3332897036088035
1.625,0.32864294196314847
1.75,0.3201259703636889
1.875,0.308154629716892
2.0,0.292597521880911
2.125,0.27417275508897415
2.25,0.2537749478029672
2.375,0.23198213045133712
2.5,0.2093559718430975
2.625,0.1852243728669115
2.75,0.1606515926228632
2.875,0.136783232030432
3.0,0.11509805867318304
3.125,0.09489084519344863
3.25,0.07549052122989663
3.375,0.05807833637594255
3.5,0.043476331365070786
3.625,0.031305912733625485
3.75,0.020623232458378767
3.875,0.011400584082759504
4.0,0.003865927818138916
4.125,-0.002377738090581741
4.25,-0.007592066722459441
4.375,-0.01200922478394172
4.5,-0.0155509169712662
4.625,-0.018046270573096768
4.75,-0.019737173045896544
4.875,-0.02084146989700884
5.0,-0.021200690139555754
5.125,-0.020718355821994425
5.25,-0.019880788671839792
5.375,-0.018988885060121353
5.5,-0.017920941276410727
5.625,-0.01681081551287488
5.75,-0.015935216163348375
5.875,-0.0149028504107382
6.0,-0.01352497368562648
6.125,-0.012054212682625671
6.25,-0.010491288077510336
6.375,-0.00840898622763828
6.5,-0.005966921154179038
6.625,-0.0036949583598237727
6.75,-0.001464348745546948
6.875,0.0008392680789368192
7.0,0.00277517393593954
7.125,0.004005721139511968
7.25,0.0047955877526277835
7.375,0.0050464891067525525
7.5,0.004762124564001387
