"rotorangle","Torque"
0.0,-0.012280013046173687
0.125,0.03078798869701036
0.25,0.0727982320839276
0.375,0.11109216022949976
0.5,0.148838861760252
0.625,0.18237081030047
0.75,0.2100986993675205
0.875,0.23473009093449873
1.0,0.25463458301669184
1.125,0.26890226926815675
1.25,0.27750064476086866
1.375,0.2817999702350113
1.5,0.28207981092626366
1.625,0.2785824588570874
1.75,0.2718689692361465
1.875,0.2607982118462285
2.0,0.247948576013746
2.125,0.23301992262485752
2.25,0.2155281371789164
2.375,0.1961654186656643
2.5,0.17529649313550336
2.625,0.15466478147154863
2.75,0.13358591920972704
2.875,0.11303113005747673
3.0,0.0929811876967228
3.125,0.07442532427413678
3.25,0.058356390779725306
3.375,0.04363214764555594
3.5,0.03080381432549464
3.625,0.02049271497984063
3.75,0.011413909309773313
3.875,0.0033942826336811295
4.0,-0.0025058820236526424
4.125,-0.007740555202063959
4.25,-0.011879816723295624
4.375,-0.015015630275925625
4.5,-0.017264390659427687
4.625,-0.01909670232776728
4.75,-0.019335268381652455
4.875,-0.019523656844248866
5.0,-0.01950681245698271
5.125,-0.019410834597070544
5.25,-0.019307684191239703
5.375,-0.01978385540235745
5.5,-0.01909010169443113
5.625,-0.01894921814659064
5.75,-0.019041563377396344
5.875,-0.01784381658550867
6.0,-0.016702883154933033
6.125,-0.015211962727928793
6.25,-0.013640400209042848
6.375,-0.012231479074267687
6.5,-0.010542836120903553
6.625,-0.0092049563102
6.75,-0.008380418545595408
6.875,-0.007025842107636238
7.0,-0.0059204321442780155
7.125,-0.0052216205444371895
7.25,-0.00393452722548429
7.375,-0.001732848052237892
7.5,-0.0005126619189519975
