"rotorangle","Torque"
0.0,-0.00830229827701572
0.125,0.03199326414351184
0.25,0.07239084520158469
0.375,0.11027088470976808
0.5,0.14501772029850535
0.625,0.17783068033577296
0.75,0.20649761977533423
0.875,0.2301419129295537
1.0,0.2498278679981092
1.125,0.26525660474189267
1.25,0.2754360877219456
1.375,0.28103310951196386
1.5,0.2830309835801276
1.625,0.2805161504305071
1.75,0.27380497216391875
1.875,0.2644614594590448
2.0,0.25227526416012935
2.125,0.236909892711572
2.25,0.21962453756447425
2.375,0.20156539513379415
2.5,0.1819924392730568
2.625,0.16114770811477488
2.75,0.14091671422025512
2.875,0.12117202454519688
3.0,0.1012675439898108
3.125,0.08237118936713889
3.25,0.06575930739705649
3.375,0.0502340648033528
3.5,0.03577267324772206
3.625,0.023576824307308807
3.75,0.013574544713256625
3.875,0.00476348642995085
4.0,-0.002992843217143139
4.125,-0.00890906816642132
4.25,-0.013417136809633544
4.375,-0.01760036309917332
4.5,-0.021232976005826257
4.625,-0.023556670002163417
4.75,-0.02552007769368584
4.875,-0.02767266842098152
5.0,-0.02914534016712932
5.125,-0.029764948927462
5.25,-0.030571842720928673
5.375,-0.031432040523623965
5.5,-0.03133754713373061
5.625,-0.030873275353035495
5.75,-0.030760355936911024
5.875,-0.03028785079932799
6.0,-0.028923369384575112
6.125,-0.027709400206884408
6.25,-0.026846488702288913
6.375,-0.025322317106553385
6.5,-0.023381337849681383
6.625,-0.02198222797243919
6.75,-0.020656119639036463
6.875,-0.018591320766930184
7.0,-0.01664703862855972
7.125,-0.015334866107698408
7.25,-0.013733563703091888
7.375,-0.011627983019161424
7.5,-0.01005714276001272
