"rotorangle","Torque"
0.0,0.011932228154637656
0.125,0.059014095974037256
0.25,0.10685755263927207
0.375,0.15195503492632312
0.5,0.19246501323148632
0.625,0.22735141114122392
0.75,0.2579494881275265
0.875,0.2836773635277835
1.0,0.30387011195721986
1.125,0.3184236878553148
1.25,0.3275679161417394
1.375,0.33161359617861647
1.5,0.3308003112011106
1.625,0.32544140289955215
1.75,0.3162971792742678
1.875,0.3040531929495631
2.0,0.2885624089099725
2.125,0.27039302502484014
2.25,0.24995909130649335
2.375,0.2283790139955484
2.5,0.20626488181902944
2.625,0.1830046364874808
2.75,0.15879293343661113
2.875,0.13449467282986063
3.0,0.11256822763924287
3.125,0.09226679507361447
3.25,0.0728816192870853
3.375,0.05500528839147759
3.5,0.03978766356071214
3.625,0.027349593411337646
3.75,0.016706988944680288
3.875,0.0078025524022126355
4.0,1.2002253719975505e-05
4.125,-0.006719614719730751
4.25,-0.012266185149812007
4.375,-0.0168000712712042
4.5,-0.020443780188021662
4.625,-0.023494279108664015
4.75,-0.025440542271356576
4.875,-0.026264301451588846
5.0,-0.025823345031744913
5.125,-0.024335845547055975
5.25,-0.02283055650936172
5.375,-0.021251367546846256
5.5,-0.019395748229118305
5.625,-0.017413277813321304
5.75,-0.016291466328335447
5.875,-0.01572260172161736
6.0,-0.014617695219083904
6.125,-0.01321693536753272
6.25,-0.011481747307974905
6.375,-0.00962996767668984
6.5,-0.007616673499410349
6.625,-0.00548454919206433
6.75,-0.003180277351121265
6.875,-0.0006599324520241897
7.0,0.0007780006741158887
7.125,0.0015014655181526783
7.25,0.0020018275158353496
7.375,0.00226850672299764
7.5,0.002127950502137364
