"rotorangle","Torque"
0.0,-0.0029664392178675174
0.125,0.03709947753074382
0.25,0.07645568436004108
0.375,0.11378762992765391
0.5,0.149053604323684
0.625,0.18061797796938583
0.75,0.20844448975372065
0.875,0.23186950436632017
1.0,0.25065848337580127
1.125,0.26471019471683466
1.25,0.27401640802380345
1.375,0.2787184066314138
1.5,0.27905943466541194
1.625,0.27524513851306215
1.75,0.26771855001440553
1.875,0.25680148837318706
2.0,0.2431040942797192
2.125,0.22687411631235344
2.25,0.20891122434905943
2.375,0.1895826891522513
2.5,0.16935800555361807
2.625,0.14893510877621713
2.75,0.1285091049567655
2.875,0.10893680549116376
3.0,0.0901915814287604
3.125,0.07290397737998999
3.25,0.056971550028940464
3.375,0.04290540293820332
3.5,0.03049079629342051
3.625,0.019825870450387504
3.75,0.010895431861823743
3.875,0.003550256672914292
4.0,-0.0024257846721268232
4.125,-0.007132492068594484
4.25,-0.010758108874037792
4.375,-0.013520202696266297
4.5,-0.015533969234859592
4.625,-0.01691394353773329
4.75,-0.017836456312724423
4.875,-0.01839934466462343
5.0,-0.018619651269006072
5.125,-0.018609554745533767
5.25,-0.01834713706991148
5.375,-0.017935188251177663
5.5,-0.017371886596558098
5.625,-0.01670012135686564
5.75,-0.01591562745896179
5.875,-0.015067612210813193
6.0,-0.014119348239131392
6.125,-0.013137199172020832
6.25,-0.01205479465422812
6.375,-0.010950214881047648
6.5,-0.009756796338898456
6.625,-0.008484216925580672
6.75,-0.0072270733500593605
6.875,-0.005930252767415771
7.0,-0.004685020948932547
7.125,-0.0034688035359999726
7.25,-0.0022787177915794712
7.375,-0.0011594283456762345
7.5,-6.737103133757024e-05
