H (A/m)	B (T)
0	0
79.57747	0.166252
100.1821	0.208725
126.1218	0.261635
158.7779	0.327146
199.8896	0.407495
251.6461	0.504604
316.8036	0.619366
398.8321	0.750502
502.0999	0.893195
632.1063	1.038258
795.7747	1.173276
1001.821	1.286731
1261.218	1.373533
1587.779	1.437658
1998.896	1.489189
2516.461	1.538344
3168.036	1.591321
3988.321	1.649723
5020.999	1.711927
6321.063	1.774712
7957.747	1.834976
10018.21	1.891442
12612.18	1.945262
15877.79	1.998705
19988.96	2.052852
25164.61	2.106184
31680.36	2.155149
39883.21	2.196375
50209.99	2.229008
63210.63	2.25545
79577.47	2.280053
100182.1	2.307136
126121.8	2.339975
158777.9	2.381044
199889.6	2.432708
251646.1	2.497748
316803.6	2.579627
